TARGET_NAME,FRAME_TYPE,DATE_OBS,BJD,SESSION_ID,FILE_NAME,RELATIVE_PATH,OBS_DATE,EXPOSURE,FILTER,TIME_DIFF_HOURS
CoRoT-2,Science,2026-08-09 08:06:16.686000+00:00,2461261.837693125,CoRoT-2_Session_1,CoRoT-2260809080616.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809080616.fits,2026-08-09,60.0,Clear,0.050154166666666666
CoRoT-2,Science,2026-08-09 08:09:16.262000+00:00,2461261.839771551,CoRoT-2_Session_1,CoRoT-2260809080916.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809080916.fits,2026-08-09,60.0,Clear,0.049882222222222224
CoRoT-2,Science,2026-08-09 08:12:15.775000+00:00,2461261.8418492475,CoRoT-2_Session_1,CoRoT-2260809081215.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809081215.fits,2026-08-09,60.0,Clear,0.04986472222222223
CoRoT-2,Science,2026-08-09 08:15:15.203000+00:00,2461261.843925961,CoRoT-2_Session_1,CoRoT-2260809081515.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809081515.fits,2026-08-09,60.0,Clear,0.049841111111111114
CoRoT-2,Science,2026-08-09 08:18:15.809000+00:00,2461261.846016308,CoRoT-2_Session_1,CoRoT-2260809081815.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809081815.fits,2026-08-09,60.0,Clear,0.05016833333333333
CoRoT-2,Science,2026-08-09 08:21:15.345000+00:00,2461261.848094271,CoRoT-2_Session_1,CoRoT-2260809082115.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809082115.fits,2026-08-09,60.0,Clear,0.04987111111111111
CoRoT-2,Science,2026-08-09 08:24:16.967000+00:00,2461261.8501963774,CoRoT-2_Session_1,CoRoT-2260809082416.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809082416.fits,2026-08-09,60.0,Clear,0.05045055555555556
CoRoT-2,Science,2026-08-09 08:27:15.473000+00:00,2461261.852262419,CoRoT-2_Session_1,CoRoT-2260809082715.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809082715.fits,2026-08-09,60.0,Clear,0.049585
CoRoT-2,Science,2026-08-09 08:30:16.104000+00:00,2461261.8543530554,CoRoT-2_Session_1,CoRoT-2260809083016.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809083016.fits,2026-08-09,60.0,Clear,0.05017527777777778
CoRoT-2,Science,2026-08-09 08:33:15.670000+00:00,2461261.856431366,CoRoT-2_Session_1,CoRoT-2260809083315.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809083315.fits,2026-08-09,60.0,Clear,0.04987944444444445
CoRoT-2,Science,2026-08-09 08:36:17.181000+00:00,2461261.8585321875,CoRoT-2_Session_1,CoRoT-2260809083617.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809083617.fits,2026-08-09,60.0,Clear,0.05041972222222222
CoRoT-2,Science,2026-08-09 08:39:16.732000+00:00,2461261.860610324,CoRoT-2_Session_1,CoRoT-2260809083916.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809083916.fits,2026-08-09,60.0,Clear,0.049875277777777775
CoRoT-2,Science,2026-08-09 08:42:16.571000+00:00,2461261.862691794,CoRoT-2_Session_1,CoRoT-2260809084216.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809084216.fits,2026-08-09,60.0,Clear,0.04995527777777778
CoRoT-2,Science,2026-08-09 08:45:16.175000+00:00,2461261.8647705438,CoRoT-2_Session_1,CoRoT-2260809084516.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809084516.fits,2026-08-09,60.0,Clear,0.049890000000000004
CoRoT-2,Science,2026-08-09 08:48:15.706000+00:00,2461261.866848449,CoRoT-2_Session_1,CoRoT-2260809084815.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809084815.fits,2026-08-09,60.0,Clear,0.049869722222222225
CoRoT-2,Science,2026-08-09 08:51:16.434000+00:00,2461261.868940208,CoRoT-2_Session_1,CoRoT-2260809085116.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809085116.fits,2026-08-09,60.0,Clear,0.050202222222222224
CoRoT-2,Science,2026-08-09 08:54:17.087000+00:00,2461261.8710310995,CoRoT-2_Session_1,CoRoT-2260809085417.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809085417.fits,2026-08-09,60.0,Clear,0.050181388888888886
CoRoT-2,Science,2026-08-09 08:57:15.534000+00:00,2461261.873096458,CoRoT-2_Session_1,CoRoT-2260809085715.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809085715.fits,2026-08-09,60.0,Clear,0.04956861111111111
CoRoT-2,Science,2026-08-09 09:00:16.098000+00:00,2461261.8751863195,CoRoT-2_Session_1,CoRoT-2260809090016.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809090016.fits,2026-08-09,60.0,Clear,0.05015666666666666
CoRoT-2,Science,2026-08-09 09:03:15.600000+00:00,2461261.8772638887,CoRoT-2_Session_1,CoRoT-2260809090315.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809090315.fits,2026-08-09,60.0,Clear,0.04986166666666667
CoRoT-2,Science,2026-08-09 09:06:15.219000+00:00,2461261.8793428126,CoRoT-2_Session_1,CoRoT-2260809090615.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809090615.fits,2026-08-09,60.0,Clear,0.04989416666666667
CoRoT-2,Science,2026-08-09 09:09:15.827000+00:00,2461261.881433183,CoRoT-2_Session_1,CoRoT-2260809090915.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809090915.fits,2026-08-09,60.0,Clear,0.05016888888888889
CoRoT-2,Science,2026-08-09 09:12:16.358000+00:00,2461261.883522662,CoRoT-2_Session_1,CoRoT-2260809091216.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809091216.fits,2026-08-09,60.0,Clear,0.050147500000000005
CoRoT-2,Science,2026-08-09 09:15:15.871000+00:00,2461261.8856003587,CoRoT-2_Session_1,CoRoT-2260809091515.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809091515.fits,2026-08-09,60.0,Clear,0.04986472222222223
CoRoT-2,Science,2026-08-09 09:18:15.489000+00:00,2461261.887679271,CoRoT-2_Session_1,CoRoT-2260809091815.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809091815.fits,2026-08-09,60.0,Clear,0.04989388888888889
CoRoT-2,Science,2026-08-09 09:21:16.196000+00:00,2461261.889770787,CoRoT-2_Session_1,CoRoT-2260809092116.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809092116.fits,2026-08-09,60.0,Clear,0.05019638888888889
CoRoT-2,Science,2026-08-09 09:24:15.903000+00:00,2461261.891850729,CoRoT-2_Session_1,CoRoT-2260809092415.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809092415.fits,2026-08-09,60.0,Clear,0.04991861111111111
CoRoT-2,Science,2026-08-09 09:27:15.451000+00:00,2461261.893928831,CoRoT-2_Session_1,CoRoT-2260809092715.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809092715.fits,2026-08-09,60.0,Clear,0.04987444444444444
CoRoT-2,Science,2026-08-09 09:30:16.061000+00:00,2461261.8960192245,CoRoT-2_Session_1,CoRoT-2260809093016.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809093016.fits,2026-08-09,60.0,Clear,0.05016944444444445
CoRoT-2,Science,2026-08-09 09:33:15.674000+00:00,2461261.8980980786,CoRoT-2_Session_1,CoRoT-2260809093315.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809093315.fits,2026-08-09,60.0,Clear,0.0498925
CoRoT-2,Science,2026-08-09 09:36:15.210000+00:00,2461261.9001760418,CoRoT-2_Session_1,CoRoT-2260809093615.fits,observations/2026-08-09/CoRoT-2/session_01/CoRoT-2260809093615.fits,2026-08-09,60.0,Clear,0.04987111111111111
CoRoT-2,Science,2026-08-16 04:40:02.011000+00:00,2461268.69446772,CoRoT-2_Session_2,CoRoT-2260816044002.fits,observations/2026-08-16/CoRoT-2/session_01/CoRoT-2260816044002.fits,2026-08-15,60.0,Clear,163.06300027777777
